area_id,greater_area_id,area_name,notes
tfl_zone_1,,,
tfl_zone_2,,,
tfl_zone_3,,,
tfl_zone_4,,,
tfl_zone_5,,,
tfl_zone_6,,,
tfl_zone_7,,,
tfl_zone_8,,,
tfl_zone_9,,,
tfl_zone_12,,,
tfl_zone_23,,,
tfl_zone_34,,,
tfl_zone_45,,,
tfl_zone_56,,,
tfl_zone_67,,,
tfl_zone_78,,,
tfl_zone_89,,,
tfl_zone_123,,,
tfl_zone_234,,,
tfl_zone_345,,,
tfl_zone_456,,,
tfl_zone_567,,,
tfl_zone_678,,,
tfl_zone_789,,,
tfl_zone_1234,,,
tfl_zone_2345,,,
tfl_zone_3456,,,
tfl_zone_4567,,,
tfl_zone_5678,,,
tfl_zone_6789,,,
tfl_zone_12345,,,
tfl_zone_23456,,,
tfl_zone_34567,,,
tfl_zone_45678,,,
tfl_zone_56789,,,
tfl_zone_123456,,,
tfl_zone_234567,,,
tfl_zone_345678,,,
tfl_zone_456789,,,
tfl_zone_1234567,,,
tfl_zone_2345678,,,
tfl_zone_3456789,,,
tfl_zone_12345678,,,
tfl_zone_23456789,,,
tfl_zone_123456789,,,
tfl_zone_not_1,,,
tfl_zone_not_2,,,
tfl_zone_not_3,,,
tfl_zone_not_4,,,
tfl_zone_not_5,,,
tfl_zone_not_6,,,
tfl_zone_not_7,,,
tfl_zone_not_8,,,
tfl_zone_not_9,,,
tfl_zone_not_12,,,
tfl_zone_not_23,,,
tfl_zone_not_34,,,
tfl_zone_not_45,,,
tfl_zone_not_56,,,
tfl_zone_not_67,,,
tfl_zone_not_78,,,
tfl_zone_not_89,,,
tfl_zone_not_123,,,
tfl_zone_not_234,,,
tfl_zone_not_345,,,
tfl_zone_not_456,,,
tfl_zone_not_567,,,
tfl_zone_not_678,,,
tfl_zone_not_789,,,
tfl_zone_not_1234,,,
tfl_zone_not_2345,,,
tfl_zone_not_3456,,,
tfl_zone_not_4567,,,
tfl_zone_not_5678,,,
tfl_zone_not_6789,,,
tfl_zone_not_12345,,,
tfl_zone_not_23456,,,
tfl_zone_not_34567,,,
tfl_zone_not_45678,,,
tfl_zone_not_56789,,,
tfl_zone_not_123456,,,
tfl_zone_not_234567,,,
tfl_zone_not_345678,,,
tfl_zone_not_456789,,,
tfl_zone_not_1234567,,,
tfl_zone_not_2345678,,,
tfl_zone_not_3456789,,,
tfl_zone_not_12345678,,,
tfl_zone_not_23456789,,,
tfl_zone_not_123456789,,,
tfl_zone_j1,tfl_zone_1,,
tfl_zone_b12,tfl_zone_1,,
tfl_zone_b12,tfl_zone_2,,
tfl_zone_j2,tfl_zone_2,,
tfl_zone_b23,tfl_zone_2,,
tfl_zone_b23,tfl_zone_3,,
tfl_zone_j3,tfl_zone_3,,
tfl_zone_b34,tfl_zone_3,,
tfl_zone_b34,tfl_zone_4,,
tfl_zone_j4,tfl_zone_4,,
tfl_zone_b45,tfl_zone_4,,
tfl_zone_b45,tfl_zone_5,,
tfl_zone_j5,tfl_zone_5,,
tfl_zone_b56,tfl_zone_5,,
tfl_zone_b56,tfl_zone_6,,
tfl_zone_j6,tfl_zone_6,,
tfl_zone_b67,tfl_zone_6,,
tfl_zone_b67,tfl_zone_7,,
tfl_zone_j7,tfl_zone_7,,
tfl_zone_b78,tfl_zone_7,,
tfl_zone_b78,tfl_zone_8,,
tfl_zone_j8,tfl_zone_8,,
tfl_zone_b89,tfl_zone_8,,
tfl_zone_b89,tfl_zone_9,,
tfl_zone_j9,tfl_zone_9,,
tfl_zone_j1,tfl_zone_12,,
tfl_zone_b12,tfl_zone_12,,
tfl_zone_j2,tfl_zone_12,,
tfl_zone_b23,tfl_zone_12,,
tfl_zone_b12,tfl_zone_23,,
tfl_zone_j2,tfl_zone_23,,
tfl_zone_b23,tfl_zone_23,,
tfl_zone_j3,tfl_zone_23,,
tfl_zone_b34,tfl_zone_23,,
tfl_zone_b23,tfl_zone_34,,
tfl_zone_j3,tfl_zone_34,,
tfl_zone_b34,tfl_zone_34,,
tfl_zone_j4,tfl_zone_34,,
tfl_zone_b45,tfl_zone_34,,
tfl_zone_b34,tfl_zone_45,,
tfl_zone_j4,tfl_zone_45,,
tfl_zone_b45,tfl_zone_45,,
tfl_zone_j5,tfl_zone_45,,
tfl_zone_b56,tfl_zone_45,,
tfl_zone_b45,tfl_zone_56,,
tfl_zone_j5,tfl_zone_56,,
tfl_zone_b56,tfl_zone_56,,
tfl_zone_j6,tfl_zone_56,,
tfl_zone_b67,tfl_zone_56,,
tfl_zone_b56,tfl_zone_67,,
tfl_zone_j6,tfl_zone_67,,
tfl_zone_b67,tfl_zone_67,,
tfl_zone_j7,tfl_zone_67,,
tfl_zone_b78,tfl_zone_67,,
tfl_zone_b67,tfl_zone_78,,
tfl_zone_j7,tfl_zone_78,,
tfl_zone_b78,tfl_zone_78,,
