service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
736,0,0,0,1,0,0,0,20230216,20230216
896,0,0,0,1,0,0,0,20230213,20231110
170,0,0,0,1,0,0,0,20230213,20231022
46,0,0,0,1,0,0,0,20230213,20230614
1224,0,0,0,1,0,0,0,20230223,20230223
14,0,0,0,1,0,0,0,20230326,20230818
150,0,1,1,1,0,0,0,20230221,20231019
1073,0,1,1,1,0,0,0,20230213,20231110
230,0,1,1,1,0,0,0,20230213,20231019
164,0,1,1,1,0,0,0,20230213,20231019
85,0,1,1,1,0,0,0,20230213,20231110
253,0,1,1,1,0,0,0,20230213,20231110
1270,0,1,1,1,0,0,0,20230221,20230223
179,0,1,1,1,0,0,0,20230221,20231019
62,0,1,1,1,0,0,0,20230213,20231019
1264,0,1,1,1,0,0,0,20230214,20230216
147,0,1,1,1,0,0,0,20230213,20231022
1041,0,1,1,1,0,0,0,20230213,20231110
47,0,1,1,1,0,0,0,20230213,20230614
77,0,1,1,1,0,0,0,20230213,20231019
172,0,1,1,1,0,0,0,20230321,20230928
176,0,1,1,1,0,0,0,20230213,20231019
6,0,1,1,0,1,1,0,20230613,20230617
1102,1,1,0,0,0,0,1,20230213,20230214
726,1,1,0,0,0,1,0,20230213,20230214
1310,1,1,0,1,1,1,0,20230216,20230221
1271,0,1,0,0,1,0,0,20230214,20230217
488,0,1,0,0,1,0,0,20230214,20231110
915,0,1,0,0,1,0,0,20230221,20231110
694,1,1,1,1,1,1,1,20230213,20231110
53,1,1,1,1,1,1,1,20230213,20231022
9,1,1,1,1,1,1,1,20230213,20231023
729,1,1,1,1,1,1,1,20230222,20231110
860,1,1,1,1,1,1,1,20230213,20231110
367,1,1,1,1,1,1,1,20230213,20231110
536,1,1,1,1,1,1,1,20230219,20231110
265,1,1,1,1,1,1,1,20230213,20231022
831,1,1,1,1,1,1,1,20230213,20231110
221,1,1,1,1,1,1,1,20230213,20231022
277,1,1,1,1,1,1,1,20230213,20231022
504,1,1,1,1,1,1,1,20230213,20231110
718,1,1,1,1,1,1,1,20230226,20231110
1025,1,1,1,1,1,1,1,20230213,20230219
201,1,1,1,1,1,1,1,20230227,20231023
753,1,1,1,1,1,1,1,20230213,20231110
241,1,1,1,1,1,1,1,20230213,20231022
807,1,1,1,1,1,1,1,20230213,20231110
153,1,1,1,1,1,1,1,20230213,20231022
925,1,1,1,1,1,1,1,20230213,20231110
1037,1,1,1,1,1,1,1,20230213,20230402
227,1,1,1,1,1,1,1,20230213,20231022
799,1,1,1,1,1,1,1,20230213,20231110
1293,1,1,1,1,1,1,1,20230306,20230313
973,1,1,1,1,1,1,1,20230213,20231110
639,1,1,1,1,1,1,1,20230213,20231110
846,1,1,1,1,1,1,1,20230213,20231110
952,1,1,1,1,1,1,1,20230213,20231110
847,1,1,1,1,1,1,1,20230213,20231110
829,1,1,1,1,1,1,1,20230216,20231110
903,1,1,1,1,1,1,1,20230214,20231110
1183,1,1,1,1,1,1,1,20230213,20231110
1030,1,1,1,1,1,1,1,20230213,20230219
