route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,network_id,as_route
49485,OP6886,,national express 502,200,,0275bd,ffffff,,
149870,OP13519,N30,Victoria - Glasgow,200,,73d700,ffffff,,
123609,OP6886,,national express W29,200,,0275bd,ffffff,,
124100,OP6886,,national express 404,200,,0275bd,ffffff,,
156237,OP13519,010,Victoria - Glasgow,200,,73d700,ffffff,,
123605,OP6886,,national express W12,200,,0275bd,ffffff,,
100008,OP771,M10,Swansea - Victoria,200,,031D77,F8BD3F,,
130335,OP13519,046,Swansea - Victoria,200,,73d700,ffffff,,
136503,OP13519,006,Victoria - Cambridge,200,,73d700,ffffff,,
53467,OP6886,,national express A1,200,,0275bd,ffffff,,
142014,OP6886,,national express 777,200,,0275bd,ffffff,,
112578,OP6886,,national express 509,200,,0275bd,ffffff,,
124338,OP6886,,national express 435,200,,0275bd,ffffff,,
123610,OP6886,,national express W20,200,,0275bd,ffffff,,
130361,OP6886,,national express 504,200,,0275bd,ffffff,,
130798,OP6886,,national express 040,200,,0275bd,ffffff,,
136965,OP13750,A21,Liverpool Street - Stansted Airport,200,,,,,
49505,OP6886,402,Newbury - Victoria,200,,0275bd,ffffff,,
59449,OP6886,,national express 591,200,,0275bd,ffffff,,
147757,OP6886,,national express 406,200,,0275bd,ffffff,,
107762,OP771,M11,Glasgow - Victoria,200,,031D77,F8BD3F,,
154620,OP6886,,national express 551,200,,0275bd,ffffff,,
95552,OP6886,,national express 423,200,,0275bd,ffffff,,
123614,OP6886,,national express W13,200,,0275bd,ffffff,,
124339,OP6886,,national express 436,200,,0275bd,ffffff,,
103707,OP13521,New Bharat,Norwood Green - Wolverhampton,200,https://www.newbharat.co.uk/daily-timetable/,,,,
159801,OP6886,,national express A30,200,,0275bd,ffffff,,
130342,OP13519,N02,Bradford City Centre - Victoria,200,,73d700,ffffff,,
127001,OP771,M12,Victoria - Newcastle upon Tyne,200,,031D77,F8BD3F,,
148911,OP6886,,national express 260,200,,0275bd,ffffff,,
162981,OP6886,national express 595,national express coach 595,200,,0275bd,ffffff,,
123600,OP6886,,national express W16,200,,0275bd,ffffff,,
123611,OP6886,,national express W24,200,,0275bd,ffffff,,
123606,OP6886,,national express W14,200,,0275bd,ffffff,,
124342,OP6886,,national express 560,200,,0275bd,ffffff,,
152145,OP6886,,national express 460,200,,0275bd,ffffff,,
155148,OP6886,,national express 728,200,,0275bd,ffffff,,
142916,OP6886,,national express 075,200,,0275bd,ffffff,,
49546,OP6886,,national express 240,200,,0275bd,ffffff,,
49536,OP6886,,national express 426,200,,0275bd,ffffff,,
145413,OP771,M11X,Victoria - Edinburgh,200,,031D77,F8BD3F,,
124096,OP6886,,national express 450,200,,0275bd,ffffff,,
133207,OP771,M45,Victoria - Shudehill,200,,031D77,F8BD3F,,
130343,OP13519,023,Victoria - Shudehill,200,,73d700,ffffff,,
149872,OP13519,045,Plymouth City Centre - Victoria,200,,73d700,ffffff,,
49680,OP6886,,national express 564,200,,0275bd,ffffff,,
100007,OP6886,,national express 400,200,,0275bd,ffffff,,
124104,OP6886,,national express 507,200,,0275bd,ffffff,,
142443,OP6886,,national express 565,200,,0275bd,ffffff,,
130349,OP13519,021,Victoria - Liverpool,200,,73d700,ffffff,,
140529,OP6886,,national express W26,200,,0275bd,ffffff,,
124824,OP6886,,national express 550,200,,0275bd,ffffff,,
49552,OP6886,,national express 403,200,,0275bd,ffffff,,
128649,OP6886,,national express A9,200,,0275bd,ffffff,,
130341,OP13519,005,Victoria - Leicester,200,,73d700,ffffff,,
142015,OP6886,,national express 201,200,,0275bd,ffffff,,
101101,OP6886,,national express A6,200,,0275bd,ffffff,,
130362,OP6886,,national express W18,200,,0275bd,ffffff,,
145710,OP6886,,national express A40,200,,0275bd,ffffff,,
101107,OP6886,,national express 444,200,,0275bd,ffffff,,
49561,OP6886,,national express 422,200,,0275bd,ffffff,,
130346,OP13519,004,Victoria - Nottingham,200,,73d700,ffffff,,
103703,OP6886,,national express 561,200,,0275bd,ffffff,,
130359,OP6886,,national express W27,200,,0275bd,ffffff,,
124101,OP6886,,national express 451,200,,0275bd,ffffff,,
49484,OP6886,,national express 203,200,,0275bd,ffffff,,
49658,OP6886,,national express 707,200,,0275bd,ffffff,,
76956,OP6886,,national express 006,200,,0275bd,ffffff,,
130796,OP6886,,national express W25,200,,0275bd,ffffff,,
156238,OP13519,N45,Plymouth City Centre - Victoria,200,,73d700,ffffff,,
125151,OP771,M38,Bradford City Centre - Cabot Circus,200,,031D77,F8BD3F,,
130336,OP6886,,national express W17,200,,0275bd,ffffff,,
134788,OP6886,,national express W11,200,,0275bd,ffffff,,
124097,OP6886,,national express 440,200,,0275bd,ffffff,,
154618,OP6886,,national express 210,200,,0275bd,ffffff,,
110104,OP6886,,national express 465,200,,0275bd,ffffff,,
149869,OP13519,N23,Shudehill - Victoria,200,,73d700,ffffff,,
158027,OP6886,,national express 032,200,,0275bd,ffffff,,
49683,OP6886,,national express 200,200,,0275bd,ffffff,,
95937,OP6886,,national express 030,200,,0275bd,ffffff,,
59307,OP6886,,national express 202,200,,0275bd,ffffff,,
123618,OP6886,,national express W19,200,,0275bd,ffffff,,
163965,OP6886,230,Heathrow Airport - Nottingham,200,,0275bd,ffffff,,
135250,OP6886,,national express A11,200,,0275bd,ffffff,,
143157,OP6886,,national express 035,200,,0275bd,ffffff,,
49597,OP6886,,national express A8,200,,0275bd,ffffff,,
49598,OP6886,,national express 409,200,,0275bd,ffffff,,
52976,OP771,M22,Victoria - Nottingham,200,,031D77,F8BD3F,,
159570,OP6886,,national express 008,200,,0275bd,ffffff,,
49599,OP6886,,national express 594,200,,0275bd,ffffff,,
163964,OP6886,W73,Wembley Park - Newcastle upon Tyne,200,,0275bd,ffffff,,
124103,OP6886,,national express 727,200,,0275bd,ffffff,,
148284,OP13521,New Bharat,Norwood Green - Leicester,200,https://www.newbharat.co.uk/london-to-leicester/,,,,
149871,OP13519,N10,Victoria - Glasgow,200,,73d700,ffffff,,
124099,OP6886,,national express 590,200,,0275bd,ffffff,,
87928,OP6886,,national express 250,200,,0275bd,ffffff,,
133203,OP771,M7,Swansea - Victoria,200,,031D77,F8BD3F,,
49606,OP6886,,national express 025,200,,0275bd,ffffff,,
130339,OP13519,001,Victoria - Newcastle upon Tyne,200,,73d700,ffffff,,
151618,OP6886,,national express W28,200,,0275bd,ffffff,,
149868,OP13519,030,Victoria - Glasgow,200,,73d700,ffffff,,
49585,OP6886,,national express 022,200,,0275bd,ffffff,,
49538,OP6886,,national express 205,200,,0275bd,ffffff,,
52401,OP56,232,Dunstable - Pepperstock,3,,,,,
6491,OP633,734,Waterloo - Ryarsh,3,,F8E6D1,07552A,,
18746,OP644,786,Paddock Wood - Millbank,200,,FFFF61,000000,,
6505,OP644,788,Paddock Wood - Millbank,200,,EEDF15,222222,,
37397,OP644,789,Paddock Wood - Millbank,200,,73F951,444444,,
18344,OP645,868,Worcester Park - Epsom,3,,,,,
28815,OP641,735,Embankment - Gravesend,200,,,,,
29951,OP641,736,Embankment - Lower Higham,200,,,,,
7590,OP1067,,Superfast 2,200,,,,,
7591,OP1067,,Superfast 1,200,,,,,
129417,OP1067,,Superfast 3,200,,,,,
7705,OP1169,,Bakerloo,402,,A45A2A,FFFFFF,tfl_tube,1
7706,OP1169,,Central,402,,DA291C,FFFFFF,tfl_tube,1
7707,OP1169,,Circle,402,,FFCD00,000000,tfl_tube,1
7708,OP1169,,District,402,,007A33,FFFFFF,tfl_tube,1
