stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_timezone,location_type,parent_station,platform_code,area_id
0100BRP90233,bstdmgp,Triangle West,51.456524,-2.608023,Europe/London,,,,
0100BRP90237,bstdmwa,Queen's Road,51.456512,-2.606583,Europe/London,,,,
0100BRP90986,bstdatw,Black Boy Hill,51.471226,-2.616037,Europe/London,,,,
0100BRP90988,bstdgda,Black Boy Hill,51.470692,-2.615152,Europe/London,,,,
0100BRP90990,bstdmam,Clifton Down Station,51.464085,-2.609434,Europe/London,,,,
0100BRP90983,bstdjwa,Clifton Down Station,51.464191,-2.609579,Europe/London,,,,
01000053221,bstgjgm,Bus Station (Bay 3),51.458942,-2.593345,,0,010G0005,3,
0100BRP91029,bstdapm,Westbury Road,51.478901,-2.616731,Europe/London,,,,
0100BRP90363,bstgwaw,Cabot Circus,51.459309,-2.588959,Europe/London,,,,
010000036,bstpjag,Cabot Circus,51.459297,-2.587793,Europe/London,,,,
0170SGP90682,sglawma,Frenchay Campus (Stop A),51.500195,-2.546223,,0,017G0003,,
0170SGP90687,sglawtp,UWE The Gardens,51.501381,-2.544509,Europe/London,,,,
0170SGP90688,sglawtw,UWE The Gardens,51.501495,-2.544323,Europe/London,,,,
017000081,sgltajp,UWE East Gate,51.499802,-2.545052,Europe/London,,,,
0180BAA01319,bthmtwj,Bus Station (Bay 1),51.377853,-2.359460,,0,018G0001,1,
0180BAC30575,bthjwma,Balustrade,51.393986,-2.347097,Europe/London,,,,
0180BAC30576,bthjwjg,Balustrade,51.393452,-2.347998,Europe/London,,,,
0190NSB00001,wsmpdpa,Interchange,51.346794,-2.974176,Europe/London,,,,
021013252,ahladawt,Allenby Avenue,51.890316,-0.489895,Europe/London,,,,
021013107,ahladapd,Church Street (Stop P2),51.886604,-0.519342,Europe/London,,,,
021013112,ahladapt,The Quadrant (Stop N3),51.886681,-0.521635,Europe/London,,,,
021013114,ahladata,Priory View,51.887062,-0.513573,Europe/London,,,,
021013517,ahladjtj,Manor Road,51.853912,-0.445579,Europe/London,,,,
021013520,ahladjtw,Manor Road,51.853786,-0.445497,Europe/London,,,,
021013258,ahladgag,Boscombe Road,51.887699,-0.507754,Europe/London,,,,
021013518,ahladjtm,Woodside Road,51.855499,-0.444450,Europe/London,,,,
